,edge,spieceasi.weight,from,to
1,Otu000002_to_Otu000265,0.101709921060172,Otu000002,Otu000265
2,Otu000004_to_Otu000009,-0.041344213376312,Otu000004,Otu000009
3,Otu000004_to_Otu000011,0.00657429548047694,Otu000004,Otu000011
4,Otu000004_to_Otu000092,0.0220557951688398,Otu000004,Otu000092
5,Otu000004_to_Otu000152,0.232211128881132,Otu000004,Otu000152
6,Otu000004_to_Otu000331,0.415509081853575,Otu000004,Otu000331
7,Otu000009_to_Otu000011,-0.141390753547289,Otu000009,Otu000011
8,Otu000009_to_Otu000021,0.194306289837982,Otu000009,Otu000021
9,Otu000009_to_Otu000152,-0.03694989885458,Otu000009,Otu000152
10,Otu000009_to_Otu000252,-0.094334538127549,Otu000009,Otu000252
11,Otu000009_to_Otu000282,0.0336617765739077,Otu000009,Otu000282
12,Otu000010_to_Otu000092,0.0266899702968837,Otu000010,Otu000092
13,Otu000010_to_Otu000152,0.0731827691403366,Otu000010,Otu000152
14,Otu000010_to_Otu000252,0.0326610903394983,Otu000010,Otu000252
15,Otu000010_to_Otu000331,0.24158523677929,Otu000010,Otu000331
16,Otu000010_to_Otu000470,-0.149867018116807,Otu000010,Otu000470
17,Otu000011_to_Otu000025,0.360692855647644,Otu000011,Otu000025
18,Otu000011_to_Otu000028,-0.22174882981967,Otu000011,Otu000028
19,Otu000011_to_Otu000033,0.324288794835657,Otu000011,Otu000033
20,Otu000011_to_Otu000085,-0.014931782462974,Otu000011,Otu000085
21,Otu000011_to_Otu000121,0.0424999502753211,Otu000011,Otu000121
22,Otu000011_to_Otu000150,-0.164780555232288,Otu000011,Otu000150
23,Otu000014_to_Otu000042,0.0178499077864268,Otu000014,Otu000042
24,Otu000014_to_Otu000111,0.0377849571656881,Otu000014,Otu000111
25,Otu000014_to_Otu000132,0.0450162758784468,Otu000014,Otu000132
26,Otu000014_to_Otu000422,-0.0524311909570171,Otu000014,Otu000422
27,Otu000014_to_Otu000492,-0.000434961385009591,Otu000014,Otu000492
28,Otu000016_to_Otu000282,-0.122479903733345,Otu000016,Otu000282
29,Otu000019_to_Otu000021,-0.36250605715286,Otu000019,Otu000021
30,Otu000019_to_Otu000025,0.0250639053216013,Otu000019,Otu000025
31,Otu000021_to_Otu000028,0.0430576589100925,Otu000021,Otu000028
32,Otu000021_to_Otu000066,0.367835080798708,Otu000021,Otu000066
33,Otu000021_to_Otu000085,0.0543527170493159,Otu000021,Otu000085
34,Otu000021_to_Otu000141,0.188147467242962,Otu000021,Otu000141
35,Otu000021_to_Otu000719,-0.0429010009491374,Otu000021,Otu000719
36,Otu000021_to_Otu000827,0.0264545655310381,Otu000021,Otu000827
37,Otu000024_to_Otu000150,-0.136773501848932,Otu000024,Otu000150
38,Otu000024_to_Otu000206,0.18483723433347,Otu000024,Otu000206
39,Otu000025_to_Otu000027,0.0229227019109925,Otu000025,Otu000027
40,Otu000025_to_Otu000129,0.0696952750659749,Otu000025,Otu000129
41,Otu000025_to_Otu000296,0.0698051454757698,Otu000025,Otu000296
42,Otu000027_to_Otu000129,0.0581274219357079,Otu000027,Otu000129
43,Otu000027_to_Otu000180,-0.139897140033958,Otu000027,Otu000180
44,Otu000027_to_Otu000356,0.0213400541728733,Otu000027,Otu000356
45,Otu000028_to_Otu000422,0.0259190054543292,Otu000028,Otu000422
46,Otu000030_to_Otu000677,0.0193770685526585,Otu000030,Otu000677
47,Otu000033_to_Otu000260,-0.0648507010201916,Otu000033,Otu000260
48,Otu000033_to_Otu000331,0.10602297377643,Otu000033,Otu000331
49,Otu000039_to_Otu000092,-0.0508970430916732,Otu000039,Otu000092
50,Otu000039_to_Otu000099,0.405407549826644,Otu000039,Otu000099
51,Otu000039_to_Otu000152,-0.139558315874415,Otu000039,Otu000152
52,Otu000039_to_Otu000225,0.0576786319704081,Otu000039,Otu000225
53,Otu000039_to_Otu000281,0.0749993645982371,Otu000039,Otu000281
54,Otu000039_to_Otu000282,0.0745156179571326,Otu000039,Otu000282
55,Otu000039_to_Otu000331,-0.0116261855646328,Otu000039,Otu000331
56,Otu000039_to_Otu000366,0.0961535111559704,Otu000039,Otu000366
57,Otu000039_to_Otu000402,-0.0998911893091751,Otu000039,Otu000402
58,Otu000039_to_Otu000629,0.00248704026842683,Otu000039,Otu000629
59,Otu000042_to_Otu000085,-0.124024529768221,Otu000042,Otu000085
60,Otu000042_to_Otu000111,0.034160280167827,Otu000042,Otu000111
61,Otu000042_to_Otu000121,0.0765017749998828,Otu000042,Otu000121
62,Otu000042_to_Otu000141,-0.0908755338903071,Otu000042,Otu000141
63,Otu000042_to_Otu000246,0.246727048024984,Otu000042,Otu000246
64,Otu000042_to_Otu000709,-0.031773637428348,Otu000042,Otu000709
65,Otu000066_to_Otu000085,0.410479610029597,Otu000066,Otu000085
66,Otu000066_to_Otu000150,0.175839320904727,Otu000066,Otu000150
67,Otu000066_to_Otu000422,0.174263103576885,Otu000066,Otu000422
68,Otu000066_to_Otu000428,-0.00701849587502212,Otu000066,Otu000428
69,Otu000066_to_Otu000508,0.39965283393341,Otu000066,Otu000508
70,Otu000081_to_Otu000147,0.203582074641482,Otu000081,Otu000147
71,Otu000081_to_Otu000174,0.196758168503142,Otu000081,Otu000174
72,Otu000081_to_Otu000260,0.0552330304740405,Otu000081,Otu000260
73,Otu000081_to_Otu000318,0.145765889298463,Otu000081,Otu000318
74,Otu000081_to_Otu000580,0.0829261689973053,Otu000081,Otu000580
75,Otu000081_to_Otu000751,0.00354233538369653,Otu000081,Otu000751
76,Otu000085_to_Otu000121,-0.0714523984591733,Otu000085,Otu000121
77,Otu000085_to_Otu000141,0.0692361942938695,Otu000085,Otu000141
78,Otu000085_to_Otu000150,0.0387491816807883,Otu000085,Otu000150
79,Otu000085_to_Otu000322,0.263049956306292,Otu000085,Otu000322
80,Otu000085_to_Otu000431,-0.136617725665757,Otu000085,Otu000431
81,Otu000089_to_Otu000092,0.220347515726671,Otu000089,Otu000092
82,Otu000089_to_Otu000150,-0.0244479802686448,Otu000089,Otu000150
83,Otu000089_to_Otu000331,0.1749897076971,Otu000089,Otu000331
84,Otu000092_to_Otu000152,0.212499038631446,Otu000092,Otu000152
85,Otu000092_to_Otu000206,0.213973402175028,Otu000092,Otu000206
86,Otu000092_to_Otu000282,-0.120458564350751,Otu000092,Otu000282
87,Otu000092_to_Otu000547,-0.0485014196060977,Otu000092,Otu000547
88,Otu000099_to_Otu000132,0.0265524936087252,Otu000099,Otu000132
89,Otu000099_to_Otu000225,0.0421260663696458,Otu000099,Otu000225
90,Otu000099_to_Otu000281,0.133589710144103,Otu000099,Otu000281
91,Otu000099_to_Otu000366,0.0262631121979129,Otu000099,Otu000366
92,Otu000105_to_Otu000562,0.142789788413892,Otu000105,Otu000562
93,Otu000111_to_Otu000132,0.0405834771431652,Otu000111,Otu000132
94,Otu000111_to_Otu000164,0.0584820546496878,Otu000111,Otu000164
95,Otu000111_to_Otu000422,-0.0482701975075703,Otu000111,Otu000422
96,Otu000121_to_Otu000141,-0.0926889047689977,Otu000121,Otu000141
97,Otu000121_to_Otu000246,0.0368940372487279,Otu000121,Otu000246
98,Otu000121_to_Otu000547,-0.0540819787212505,Otu000121,Otu000547
99,Otu000129_to_Otu000180,-0.00425663898671846,Otu000129,Otu000180
100,Otu000129_to_Otu000356,0.257413917724802,Otu000129,Otu000356
101,Otu000132_to_Otu000225,0.0206489094576241,Otu000132,Otu000225
102,Otu000132_to_Otu000402,-0.114162542766917,Otu000132,Otu000402
103,Otu000132_to_Otu000441,0.0376747384202216,Otu000132,Otu000441
104,Otu000132_to_Otu000474,-0.041439531838932,Otu000132,Otu000474
105,Otu000141_to_Otu000322,0.123137561619828,Otu000141,Otu000322
106,Otu000141_to_Otu000722,0.0440771706876153,Otu000141,Otu000722
107,Otu000147_to_Otu000180,0.10308012198067,Otu000147,Otu000180
108,Otu000147_to_Otu000530,0.0171402869929277,Otu000147,Otu000530
109,Otu000150_to_Otu000152,-0.0265557302351275,Otu000150,Otu000152
110,Otu000150_to_Otu000260,0.123734280924508,Otu000150,Otu000260
111,Otu000152_to_Otu000252,0.21390636477294,Otu000152,Otu000252
112,Otu000152_to_Otu000547,-0.0121860636596168,Otu000152,Otu000547
113,Otu000152_to_Otu000629,-0.228288974099598,Otu000152,Otu000629
114,Otu000164_to_Otu000196,-0.168174149871683,Otu000164,Otu000196
115,Otu000164_to_Otu000422,-0.148997124034295,Otu000164,Otu000422
116,Otu000164_to_Otu000734,-0.0318836425318253,Otu000164,Otu000734
117,Otu000165_to_Otu000331,-0.25414141977341,Otu000165,Otu000331
118,Otu000177_to_Otu000196,0.109166596800888,Otu000177,Otu000196
119,Otu000177_to_Otu000210,0.0581954044942409,Otu000177,Otu000210
120,Otu000177_to_Otu000276,0.0235511532703004,Otu000177,Otu000276
121,Otu000177_to_Otu000551,0.0587230308878727,Otu000177,Otu000551
122,Otu000177_to_Otu000709,0.0462034573065174,Otu000177,Otu000709
123,Otu000206_to_Otu000252,0.118757844612327,Otu000206,Otu000252
124,Otu000230_to_Otu000387,0.00754007209664653,Otu000230,Otu000387
125,Otu000230_to_Otu000422,-0.14129552099533,Otu000230,Otu000422
126,Otu000246_to_Otu000391,0.00975406979394999,Otu000246,Otu000391
127,Otu000246_to_Otu000537,-0.102637726477466,Otu000246,Otu000537
128,Otu000252_to_Otu000402,0.263814840095945,Otu000252,Otu000402
129,Otu000252_to_Otu000562,0.109112592301112,Otu000252,Otu000562
130,Otu000260_to_Otu000296,-0.201570546831135,Otu000260,Otu000296
131,Otu000260_to_Otu000318,0.228244693875119,Otu000260,Otu000318
132,Otu000260_to_Otu000331,-0.172703063648318,Otu000260,Otu000331
133,Otu000260_to_Otu000537,0.162126416267956,Otu000260,Otu000537
134,Otu000265_to_Otu000492,-0.0358074136861486,Otu000265,Otu000492
135,Otu000276_to_Otu000551,0.0579246615164193,Otu000276,Otu000551
136,Otu000276_to_Otu000709,0.0822768151266162,Otu000276,Otu000709
137,Otu000282_to_Otu000352,0.0649575180615553,Otu000282,Otu000352
138,Otu000282_to_Otu000366,0.0800451112856398,Otu000282,Otu000366
139,Otu000282_to_Otu000459,0.0787956384901259,Otu000282,Otu000459
140,Otu000282_to_Otu000547,0.0831236300993932,Otu000282,Otu000547
141,Otu000285_to_Otu000391,0.256213524346516,Otu000285,Otu000391
142,Otu000285_to_Otu000551,-0.0107441544906368,Otu000285,Otu000551
143,Otu000285_to_Otu000709,-0.0220116946585673,Otu000285,Otu000709
144,Otu000296_to_Otu000331,0.0251861756260837,Otu000296,Otu000331
145,Otu000322_to_Otu000492,0.232070155637477,Otu000322,Otu000492
146,Otu000391_to_Otu000799,0.0085858123453979,Otu000391,Otu000799
147,Otu000394_to_Otu000492,0.00221567400841766,Otu000394,Otu000492
148,Otu000422_to_Otu000473,-0.14105220068518,Otu000422,Otu000473
149,Otu000422_to_Otu000484,-0.135024166024013,Otu000422,Otu000484
150,Otu000422_to_Otu000709,0.38455502587204,Otu000422,Otu000709
151,Otu000473_to_Otu000615,0.0287715365281962,Otu000473,Otu000615
152,Otu000473_to_Otu000691,-0.0426409495419772,Otu000473,Otu000691
153,Otu000473_to_Otu000719,0.0486133262240364,Otu000473,Otu000719
154,Otu000492_to_Otu000508,0.101181121489451,Otu000492,Otu000508
155,Otu000492_to_Otu000827,0.0407994208797604,Otu000492,Otu000827
156,Otu000508_to_Otu000537,0.0203258454436887,Otu000508,Otu000537
157,Otu000551_to_Otu000691,0.0170089805624049,Otu000551,Otu000691
158,Otu000551_to_Otu000709,0.0028799022338607,Otu000551,Otu000709
159,Otu000662_to_Otu000734,0.130009883488835,Otu000662,Otu000734
160,Otu000719_to_Otu000827,-0.0501091946825584,Otu000719,Otu000827
